Date,Mkt-RF,SMB,HML,RMW,CMA,RF
19630701,-0.39,-0.47,-0.83,0.66,-1.15,0.27
19630801,5.07,-0.79,1.67,0.39,-0.4,0.25
19630901,-1.57,-0.48,0.18,-0.76,0.24,0.27
19631001,2.53,-1.29,-0.1,2.75,-2.24,0.29
19631101,-0.85,-0.84,1.71,-0.45,2.22,0.27
19631201,1.83,-1.89,-0.12,0.08,-0.3,0.29
19640101,2.24,0.08,1.59,0.22,1.5,0.3
19640201,1.54,0.32,2.83,0.06,0.85,0.26
19640301,1.41,1.41,3.32,-2.01,2.93,0.31
19640401,0.1,-1.52,-0.55,-1.35,-1.08,0.29
19640501,1.42,-0.68,1.98,-0.26,0.24,0.26
19640601,1.27,0.09,0.68,-0.42,0.14,0.3
19640701,1.74,0.53,0.68,0.14,1.84,0.3
19640801,-1.44,0.3,0.09,0.06,0.36,0.28
19640901,2.69,-0.31,1.65,-0.48,0.58,0.28
19641001,0.59,0.88,1.14,-0.29,0.48,0.29
19641101,0,-0.27,-1.98,0.6,-0.16,0.29
19641201,0.03,-0.58,-2.55,1.13,-1.63,0.31
19650101,3.54,2.49,0.18,0.84,0.11,0.28
19650201,0.44,3.31,0.22,0.4,-0.69,0.3
19650301,-1.34,2.03,1.09,-0.3,0.73,0.36
19650401,3.11,1.18,0.71,0.26,-2.3,0.31
19650501,-0.77,0.06,-1.63,-0.37,0.7,0.31
19650601,-5.51,-4.3,0.55,0.12,0.41,0.35
19650701,1.43,1.07,2.18,-1.41,-0.02,0.31
19650801,2.73,2.72,-0.96,2.06,-0.76,0.33
19650901,2.86,0.62,-0.1,-0.82,0.82,0.31
19651001,2.6,3.43,1.52,1.22,-0.76,0.31
19651101,-0.03,5.19,0.21,-1.06,-0.9,0.35
19651201,1.01,2.65,1.95,-1.28,-0.45,0.33
19660101,0.72,4.72,3.49,-2.83,-0.07,0.38
19660201,-1.21,4.86,0.27,-0.15,-1.44,0.35
19660301,-2.51,0.22,-2.07,1.3,-0.01,0.38
19660401,2.14,3.38,-0.54,0.41,-0.91,0.34
19660501,-5.66,-5.19,-1.55,1.66,-1.52,0.41
19660601,-1.44,1.34,0.5,0.06,0.8,0.38
19660701,-1.63,-0.5,0.96,-0.45,1.78,0.35
19660801,-7.91,-3.03,0.47,0.05,0.77,0.41
19660901,-1.06,-1.19,0.53,-1.65,2.5,0.4
19661001,3.86,-6.53,2.87,-3.64,4.28,0.45
19661101,1.4,3.37,-4.46,4.17,-6.53,0.4
19661201,0.13,1.93,-1.22,0.68,-0.13,0.4
19670101,8.15,9,2.22,0.62,-2.98,0.43
19670201,0.78,3.03,-2.17,1.94,-0.94,0.36
19670301,3.99,1.91,0.31,0.9,-1.51,0.39
19670401,3.89,0.46,-2.64,2.43,-3.75,0.32
19670501,-4.33,2.37,0.8,-1.75,1.61,0.33
19670601,2.41,6.47,0.96,-0.64,-2.38,0.27
19670701,4.58,3.48,2.65,0.51,2.73,0.31
19670801,-0.89,0.76,1.46,0.42,1.4,0.31
19670901,3.11,2.46,-2.47,0.22,-0.96,0.32
19671001,-3.09,0.46,-3.39,0.81,-2.57,0.39
19671101,0.37,-0.05,-1.71,1.29,-2.29,0.36
19671201,3.05,5.76,-0.39,-0.65,0.04,0.33
19680101,-4.06,4.48,4.75,-4.58,6.45,0.4
19680201,-3.75,-2.92,1.17,-0.14,2.48,0.39
19680301,0.2,-1.52,-0.59,1.17,-1.15,0.38
19680401,9.05,6.25,-1.03,2.79,-3.66,0.43
19680501,2.28,7.02,0.84,0.39,-1.85,0.45
19680601,0.69,-0.28,0.67,-1.33,2.65,0.43
19680701,-2.72,-1.33,5.48,-3,3.59,0.48
19680801,1.34,2.29,1,-0.6,0.42,0.42
19680901,4.03,2.78,0.24,-2.03,0.89,0.43
19681001,0.42,-0.42,2.89,-1.28,2.79,0.44
19681101,5.43,2.41,-0.9,0.45,-2.5,0.42
19681201,-3.94,3.6,0.02,-1.78,1.66,0.43
19690101,-1.25,-0.46,1.69,-1.56,1.38,0.53
19690201,-5.84,-4.12,0.9,2.18,0.79,0.46
19690301,2.64,-0.4,-0.46,-1.35,-0.41,0.46
19690401,1.46,-0.82,0.03,0.39,0.08,0.53
19690501,-0.1,-0.18,0.73,-0.98,1.51,0.48
19690601,-7.18,-5.49,-1.09,4.26,-1.53,0.51
19690701,-7,-3.37,1.42,1.4,1.97,0.53
19690801,4.68,0.71,-3.87,1.16,-4.08,0.5
19690901,-2.98,1.29,-3.19,3.42,-0.83,0.62
19691001,5.06,3.89,-3.19,0.01,-2.03,0.6
19691101,-3.79,-2.41,-1.12,1.44,0.32,0.52
