,Mkt-RF,SMB,HML,RMW,CMA,RF,RF_lag,Close,Adj Close,return,return_adj,return_lag,return_adj_lag,ticker,RP,RP_ADJ,RP_LAG,RP_ADJ_LAG,HML_3m,Mkt-RF_3m,RMW_3m,CMA_3m,SMB_3m,HML_6m,Mkt-RF_6m,RMW_6m,CMA_6m,SMB_6m,HML_9m,Mkt-RF_9m,RMW_9m,CMA_9m,SMB_9m,HML_12m,Mkt-RF_12m,RMW_12m,CMA_12m,SMB_12m
1998-09-01,6.15,-0.82,-3.31,-1.52,-2.9,0.46,0.32,36.583332,19.642205999999998,-26.649960902255643,-26.64995812907449,-25.797354926555073,-25.797382432502737,JPM,-27.109960902255644,-27.109958129074492,-26.117354926555073,-26.117382432502737,,,,,,,,,,,,,,,,,,,,
1998-10-01,7.13,-3.53,-2.2,0.59,0.27,0.32,0.31,27.1458,14.575031,-25.797354926555073,-25.797382432502737,38.75689056870677,40.621820975886756,JPM,-26.117354926555073,-26.117382432502737,38.44689056870677,40.311820975886754,,,,,,,,,,,,,,,,,,,,
1998-11-01,6.1,0.65,-3.14,-1.25,-1.15,0.31,0.38,37.666668,20.495673999999998,38.75689056870677,40.621820975886756,9.955751859973393,9.955725291102912,JPM,38.44689056870677,40.311820975886754,9.575751859973392,9.575725291102911,,,,,,,,,,,,,,,,,,,,
1998-12-01,6.16,-1.5,-4.46,-0.75,-3.35,0.38,0.35,41.416668,22.536167000000003,9.955751859973393,9.955725291102912,15.694164484694895,16.580827609238046,JPM,9.575751859973392,9.575725291102911,15.344164484694895,16.230827609238045,-3.31,6.15,-1.52,-2.9,-0.82,,,,,,,,,,,,,,,
1999-01-01,3.5,-0.75,-4.03,-2.69,-6.88,0.35,0.35,47.916668,26.27285,15.694164484694895,16.580827609238046,6.8695594610209465,6.869570678476067,JPM,15.344164484694895,16.230827609238045,6.519559461020947,6.519570678476067,-2.2,7.13,0.59,0.27,-3.53,,,,,,,,,,,,,,,
1999-02-01,-4.08,-5.15,1.4,-1.71,4.09,0.35,0.43,51.208332,28.077682,6.8695594610209465,6.869570678476067,5.126118929239865,5.126160343293318,JPM,6.519559461020947,6.519570678476067,4.696118929239865,4.696160343293318,-3.14,6.1,-1.25,-1.15,0.65,,,,,,,,,,,,,,,
1999-03-01,3.45,-4.3,-2.64,-4.2,-1.38,0.43,0.37,53.83333199999999,29.516989000000002,5.126118929239865,5.126160343293318,-1.7027814663227336,-0.95432159425205,JPM,4.696118929239865,4.696160343293318,-2.0727814663227337,-1.32432159425205,-4.46,6.16,-0.75,-3.35,-1.5,-3.31,6.15,-1.52,-2.9,-0.82,,,,,,,,,,
1999-04-01,4.33,4.65,2.51,-2.42,0.92,0.37,0.34,52.91666800000001,29.235302,-1.7027814663227336,-0.95432159425205,4.251968396800798,4.2519246081330175,JPM,-2.0727814663227337,-1.32432159425205,3.9119683968007983,3.9119246081330177,-4.03,3.5,-2.69,-6.88,-0.75,-2.2,7.13,0.59,0.27,-3.53,,,,,,,,,,
1999-05-01,-2.46,3.73,2.4,1.09,3.34,0.34,0.4,55.16666800000001,30.478365000000004,4.251968396800798,4.2519246081330175,-12.839883677585906,-12.839891509928448,JPM,3.9119683968007983,3.9119246081330177,-13.239883677585906,-13.239891509928448,1.4,-4.08,-1.71,4.09,-5.15,-3.14,6.1,-1.25,-1.15,0.65,,,,,,,,,,
1999-06-01,4.77,2.26,-3.59,1.32,-3.39,0.4,0.38,48.083332,26.564976,-12.839883677585906,-12.839891509928448,19.150785972985428,20.003929233739946,JPM,-13.239883677585906,-13.239891509928448,18.77078597298543,19.623929233739947,-2.64,3.45,-4.2,-1.38,-4.3,-4.46,6.16,-0.75,-3.35,-1.5,-3.31,6.15,-1.52,-2.9,-0.82,,,,,
